"Name","COVID-19 Cases by Daily Count"
"Description","Daily count of confirmed COVID-19 cases by date of diagnosis.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Cases were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated. For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong>"
"Notes","Borough-wide counts may not sum to citywide tables due to records with missing geographic information. Because of delays in reporting, the most recent data may be incomplete. Data shown currently will be updated in the future as new information on cases, hospitalizations, and deaths are reported."

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,5747,3651000
New York City,04/06,Number,6354,3651000
New York City,04/10,Number,4510,3651000
New York City,04/13,Number,3312,3651000
New York City,04/17,Number,3584,3651000
New York City,04/20,Number,3792,3651000
New York City,04/24,Number,2535,3651000
New York City,04/27,Number,2288,3651000
New York City,05/01,Number,1887,3651000
New York City,05/04,Number,1550,3651000
New York City,05/08,Number,1081,3651000
New York City,05/11,Number,1231,3651000
New York City,05/15,Number,873,3651000
New York City,05/19,Number,1003,3651000
New York City,05/22,Number,1037,3651000
New York City,05/25,Number,465,3651000
New York City,05/29,Number,642,3651000
New York City,06/01,Number,686,3651000
New York City,06/05,Number,403,3651000
New York City,06/08,Number,450,3651000
New York City,06/12,Number,410,3651000
New York City,06/19,Number,362,3651000
New York City,06/22,Number,401,3651000
New York City,06/26,Number,316,3651000
New York City,06/30,Number,442,3651000
New York City,07/09,Number,393,3651000
New York City,07/20,Number,402,3651000
New York City,07/30,Number,274,3651000
New York City,08/05,Number,298,3651000
New York City,08/16,Number,140,3651000
New York City,08/23,Number,150,3651000
New York City,09/07,Number,218,3651000
New York City,09/14,Number,433,3651000
New York City,09/27,Number,382,3651000
New York City,10/07,Number,542,3651000
New York City,10/14,Number,579,3651000
New York City,10/21,Number,653,3651000
New York City,10/28,Number,784,3651000
New York City,11/04,Number,1110,3651000
New York City,11/12,Number,1502,3651000
New York City,11/19,Number,1855,3651000
New York City,11/26,Number,810,3651000
New York City,12/03,Number,2883,3651000
New York City,12/11,Number,2980,3651000
New York City,12/25,Number,1048,3651000
New York City,1/08,Number,5295,3651000
New York City,1/22,Number,4696,3651000
New York City,1/27,Number,4781,3651000
New York City,2/12,Number,3322,3651000
