"Name","COVID-19 Deaths by Age Group"
"Description","Rates refer to the number of COVID-19 deaths, per 100,000 individuals in the age range."
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new deaths per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
New York City,0-17 Years,04/02,Rate,0.06,3651000
New York City,18-44 Years,04/02,Rate,2.67,3651000
New York City,45-64 Years,04/02,Rate,18.58,3651000
New York City,65-75 Years,04/02,Rate,53.78,3651000
New York City,75 and Older,04/02,Rate,130.35,3651000
New York City,0-17 Years,04/06,Rate,0.12,3651000
New York City,18-44 Years,04/06,Rate,4.39,3651000
New York City,45-64 Years,04/06,Rate,31.71,3651000
New York City,65-75 Years,04/06,Rate,98.12,3651000
New York City,75 and Older,04/06,Rate,228.53,3651000
New York City,0-17 Years,04/10,Rate,0.17,3651000
New York City,18-44 Years,04/10,Rate,7.86,3651000
New York City,45-64 Years,04/10,Rate,62.4,3651000
New York City,65-75 Years,04/10,Rate,190.95,3651000
New York City,75 and Older,04/10,Rate,464.92,3651000
New York City,0-17 Years,04/13,Rate,0.17,3651000
New York City,18-44 Years,04/13,Rate,8.43,3651000
New York City,45-64 Years,04/13,Rate,70.48,3651000
New York City,65-75 Years,04/13,Rate,216.13,3651000
New York City,75 and Older,04/13,Rate,536.4,3651000
New York City,0-17 Years,04/17,Rate,0.17,3651000
New York City,18-44 Years,04/17,Rate,10.48,3651000
New York City,45-64 Years,04/17,Rate,86.96,3651000
New York City,65-75 Years,04/17,Rate,280.64,3651000
New York City,75 and Older,04/17,Rate,691.62,3651000
New York City,0-17 Years,04/20,Rate,0.17,3651000
New York City,18-44 Years,04/20,Rate,11.72,3651000
New York City,45-64 Years,04/20,Rate,99.61,3651000
New York City,65-75 Years,04/20,Rate,322.26,3651000
New York City,75 and Older,04/20,Rate,804.61,3651000
New York City,0-17 Years,04/24,Rate,0.29,3651000
New York City,18-44 Years,04/24,Rate,13.44,3651000
New York City,45-64 Years,04/24,Rate,117.6,3651000
New York City,65-75 Years,04/24,Rate,382.2,3651000
New York City,75 and Older,04/24,Rate,949.95,3651000
New York City,0-17 Years,04/27,Rate,0.29,3651000
New York City,18-44 Years,04/27,Rate,14.21,3651000
New York City,45-64 Years,04/27,Rate,127.43,3651000
New York City,65-75 Years,04/27,Rate,412.52,3651000
New York City,75 and Older,04/27,Rate,1045.39,3651000
New York City,0-17 Years,05/01,Rate,0.35,3651000
New York City,18-44 Years,05/01,Rate,15.76,3651000
New York City,45-64 Years,05/01,Rate,141.44,3651000
New York City,65-75 Years,05/01,Rate,460.15,3651000
New York City,75 and Older,05/01,Rate,1158.37,3651000
New York City,0-17 Years,05/04,Rate,0.35,3651000
New York City,18-44 Years,05/04,Rate,16.17,3651000
New York City,45-64 Years,05/04,Rate,147.27,3651000
New York City,65-75 Years,05/04,Rate,481.03,3651000
New York City,75 and Older,05/04,Rate,1205.36,3651000
New York City,0-17 Years,05/08,Rate,0.35,3651000
New York City,18-44 Years,05/08,Rate,17.06,3651000
New York City,45-64 Years,05/08,Rate,156.56,3651000
New York City,65-75 Years,05/08,Rate,512.22,3651000
New York City,75 and Older,05/08,Rate,1280.86,3651000
New York City,0-17 Years,05/11,Rate,0.58,3651000
New York City,18-44 Years,05/11,Rate,17.42,3651000
New York City,45-64 Years,05/11,Rate,162.84,3651000
New York City,65-75 Years,05/11,Rate,530.38,3651000
New York City,75 and Older,05/11,Rate,1329.68,3651000
New York City,0-17 Years,05/15,Rate,0.46,3651000
New York City,18-44 Years,05/15,Rate,18.1,3651000
New York City,45-64 Years,05/15,Rate,167.75,3651000
New York City,65-75 Years,05/15,Rate,549.41,3651000
New York City,75 and Older,05/15,Rate,1373.19,3651000
New York City,0-17 Years,05/19,Rate,0.58,3651000
New York City,18-44 Years,05/19,Rate,18.73,3651000
New York City,45-64 Years,05/19,Rate,174.9,3651000
New York City,65-75 Years,05/19,Rate,573.58,3651000
New York City,75 and Older,05/19,Rate,1427.67,3651000
New York City,0-17 Years,05/19,Number,10,3651000
New York City,18-44 Years,05/19,Number,631,3651000
New York City,45-64 Years,05/19,Number,3596,3651000
New York City,65-75 Years,05/19,Number,4010,3651000
New York City,75 and Older,05/19,Number,7809,3651000
New York City,0-17 Years,05/22,Number,10,3651000
New York City,18-44 Years,05/22,Number,643,3651000
New York City,45-64 Years,05/22,Number,3662,3651000
New York City,65-75 Years,05/22,Number,4078,3651000
New York City,75 and Older,05/22,Number,7940,3651000
New York City,0-17 Years,05/22,Rate,0.58,3651000
New York City,18-44 Years,05/22,Rate,19.08,3651000
New York City,45-64 Years,05/22,Rate,178.11,3651000
New York City,65-75 Years,05/22,Rate,583.31,3651000
New York City,75 and Older,05/22,Rate,1451.62,3651000
New York City,0-17 Years,05/25,Number,10,3651000
New York City,18-44 Years,05/25,Number,646,3651000
New York City,45-64 Years,05/25,Number,3705,3651000
New York City,65-75 Years,05/25,Number,4114,3651000
New York City,75 and Older,05/25,Number,8007,3651000
New York City,0-17 Years,05/25,Rate,0.58,3651000
New York City,18-44 Years,05/25,Rate,19.17,3651000
New York City,45-64 Years,05/25,Rate,180.2,3651000
New York City,65-75 Years,05/25,Rate,588.46,3651000
New York City,75 and Older,05/25,Rate,1463.87,3651000
New York City,0-17 Years,05/29,Number,10,3651000
New York City,18-44 Years,05/29,Number,653,3651000
New York City,45-64 Years,05/29,Number,3761,3651000
New York City,65-75 Years,05/29,Number,4173,3651000
New York City,75 and Older,05/29,Number,8140,3651000
New York City,0-17 Years,05/29,Rate,0.58,3651000
New York City,18-44 Years,05/29,Rate,19.38,3651000
New York City,45-64 Years,05/29,Rate,182.92,3651000
New York City,65-75 Years,05/29,Rate,596.89,3651000
New York City,75 and Older,05/29,Rate,1488.19,3651000
New York City,0-17 Years,06/01,Number,11,3651000
New York City,18-44 Years,06/01,Number,658,3651000
New York City,45-64 Years,06/01,Number,3784,3651000
New York City,65-75 Years,06/01,Number,4217,3651000
New York City,75 and Older,06/01,Number,8212,3651000
New York City,0-17 Years,06/01,Rate,0.64,3651000
New York City,18-44 Years,06/01,Rate,19.53,3651000
New York City,45-64 Years,06/01,Rate,184.04,3651000
New York City,65-75 Years,06/01,Rate,603.19,3651000
New York City,75 and Older,06/01,Rate,1501.35,3651000
New York City,0-17 Years,06/05,Number,11,3651000
New York City,18-44 Years,06/05,Number,668,3651000
New York City,45-64 Years,06/05,Number,3820,3651000
New York City,65-75 Years,06/05,Number,4259,3651000
New York City,75 and Older,06/05,Number,8296,3651000
New York City,0-17 Years,06/05,Rate,0.64,3651000
New York City,18-44 Years,06/05,Rate,19.82,3651000
New York City,45-64 Years,06/05,Rate,185.79,3651000
New York City,65-75 Years,06/05,Rate,609.2,3651000
New York City,75 and Older,06/05,Rate,1516.71,3651000
New York City,0-17 Years,06/08,Number,11,3651000
New York City,18-44 Years,06/08,Number,674,3651000
New York City,45-64 Years,06/08,Number,3842,3651000
New York City,65-75 Years,06/08,Number,4285,3651000
New York City,75 and Older,06/08,Number,8356,3651000
New York City,0-17 Years,06/08,Rate,0.64,3651000
New York City,18-44 Years,06/08,Rate,20,3651000
New York City,45-64 Years,06/08,Rate,186.86,3651000
New York City,65-75 Years,06/08,Rate,612.92,3651000
New York City,75 and Older,06/08,Rate,1527.67,3651000
New York City,0-17 Years,06/12,Number,11,3651000
New York City,18-44 Years,06/12,Number,682,3651000
New York City,45-64 Years,06/12,Number,3873,3651000
New York City,65-75 Years,06/12,Number,4336,3651000
New York City,75 and Older,06/12,Number,8448,3651000
New York City,0-17 Years,06/12,Rate,0.64,3651000
New York City,18-44 Years,06/12,Rate,20.24,3651000
New York City,45-64 Years,06/12,Rate,188.37,3651000
New York City,65-75 Years,06/12,Rate,620.21,3651000
New York City,75 and Older,06/12,Rate,1544.49,3651000
New York City,0-17 Years,06/15,Number,11,3651000
New York City,18-44 Years,06/15,Number,688,3651000
New York City,45-64 Years,06/15,Number,3892,3651000
New York City,65-75 Years,06/15,Number,4354,3651000
New York City,75 and Older,06/15,Number,8487,3651000
New York City,0-17 Years,06/15,Rate,0.64,3651000
New York City,18-44 Years,06/15,Rate,20.42,3651000
New York City,45-64 Years,06/15,Rate,189.3,3651000
New York City,65-75 Years,06/15,Rate,622.78,3651000
New York City,75 and Older,06/15,Rate,1551.62,3651000
New York City,0-17 Years,06/19,Number,11,3651000
New York City,18-44 Years,06/19,Number,692,3651000
New York City,45-64 Years,06/19,Number,3918,3651000
New York City,65-75 Years,06/19,Number,4380,3651000
New York City,75 and Older,06/19,Number,8544,3651000
New York City,0-17 Years,06/19,Rate,0.64,3651000
New York City,18-44 Years,06/19,Rate,20.54,3651000
New York City,45-64 Years,06/19,Rate,190.56,3651000
New York City,65-75 Years,06/19,Rate,626.5,3651000
New York City,75 and Older,06/19,Rate,1562.05,3651000
New York City,0-17 Years,06/22,Number,11,3651000
New York City,18-44 Years,06/22,Number,694,3651000
New York City,45-64 Years,06/22,Number,3945,3651000
New York City,65-75 Years,06/22,Number,4404,3651000
New York City,75 and Older,06/22,Number,8581,3651000
New York City,0-17 Years,06/22,Rate,0.64,3651000
New York City,18-44 Years,06/22,Rate,20.6,3651000
New York City,45-64 Years,06/22,Rate,191.87,3651000
New York City,65-75 Years,06/22,Rate,629.94,3651000
New York City,75 and Older,06/22,Rate,1568.81,3651000
