"Name","COVID-19 Deaths by Sex"
"Description","Rates refer to the number of COVID-19 deaths per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new deaths per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;"

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,04/02,Rate,13.41,3651000
New York City,Male,04/02,Rate,24.24,3651000
New York City,Female,04/06,Rate,23.15,3651000
New York City,Male,04/06,Rate,42.91,3651000
New York City,Female,04/10,Rate,44.96,3651000
New York City,Male,04/10,Rate,80.85,3651000
New York City,Female,04/13,Rate,51.88,3651000
New York City,Male,04/13,Rate,92.11,3651000
New York City,Female,04/17,Rate,69.05,3651000
New York City,Male,04/17,Rate,120.89,3651000
New York City,Female,04/20,Rate,80.06,3651000
New York City,Male,04/20,Rate,138.72,3651000
New York City,Female,04/24,Rate,94.88,3651000
New York City,Male,04/24,Rate,163.86,3651000
New York City,Female,04/27,Rate,104.17,3651000
New York City,Male,04/27,Rate,177.44,3651000
New York City,Female,05/01,Rate,115.69,3651000
New York City,Male,05/01,Rate,197.18,3651000
New York City,Female,05/04,Rate,120.29,3651000
New York City,Male,05/04,Rate,205.59,3651000
New York City,Female,05/08,Rate,128.14,3651000
New York City,Male,05/08,Rate,218.3,3651000
New York City,Female,05/11,Rate,132.63,3651000
New York City,Male,05/11,Rate,225.01,3651000
New York City,Female,05/15,Rate,137.59,3651000
New York City,Male,05/15,Rate,233.68,3651000
New York City,Female,05/19,Rate,143.1,3651000
New York City,Male,05/19,Rate,242.34,3651000
New York City,Female,05/19,Number,6286,3651000
New York City,Male,05/19,Number,9708,3651000
New York City,Female,05/22,Number,6424,3651000
New York City,Male,05/22,Number,9888,3651000
New York City,Female,05/22,Rate,146.24,3651000
New York City,Male,05/22,Rate,246.83,3651000
New York City,Female,05/25,Number,6481,3651000
New York City,Male,05/25,Number,9993,3651000
New York City,Female,05/25,Rate,147.54,3651000
New York City,Male,05/25,Rate,249.45,3651000
New York City,Female,05/29,Number,6597,3651000
New York City,Male,05/29,Number,10133,3651000
New York City,Female,05/29,Rate,150.18,3651000
New York City,Male,05/29,Rate,252.95,3651000
New York City,Female,06/01,Number,6665,3651000
New York City,Male,06/01,Number,10210,3651000
New York City,Female,06/01,Rate,151.73,3651000
New York City,Male,06/01,Rate,254.87,3651000
New York City,Female,06/05,Number,6736,3651000
