"Name","COVID-19 Hospitalizations by Daily Count"
"Description","Daily count of COVID-19 hospitalizations by date of admission.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Borough-wide counts may not sum to citywide tables due to records with missing geographic information. Because of delays in reporting, the most recent data may be incomplete. Data shown currently will be updated in the future as new information on cases, hospitalizations, and deaths are reported.<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,TimeFrame,DataFormat,Data,Fips
New York City,04/02,Number,1678,3651000
New York City,04/06,Number,1742,3651000
New York City,04/10,Number,1290,3651000
New York City,04/13,Number,1157,3651000
New York City,04/17,Number,791,3651000
New York City,04/20,Number,632,3651000
New York City,04/24,Number,463,3651000
New York City,04/27,Number,370,3651000
New York City,05/01,Number,267,3651000
New York City,05/04,Number,239,3651000
New York City,05/08,Number,171,3651000
New York City,05/11,Number,186,3651000
New York City,05/15,Number,126,3651000
New York City,05/19,Number,118,3651000
New York City,05/22,Number,102,3651000
New York City,05/25,Number,78,3651000
New York City,05/29,Number,85,3651000
New York City,06/01,Number,85,3651000
New York City,06/05,Number,57,3651000
New York City,06/08,Number,62,3651000
New York City,06/12,Number,55,3651000
New York City,06/19,Number,45,3651000
New York City,06/22,Number,51,3651000
New York City,06/26,Number,33,3651000
New York City,06/30,Number,45,3651000
New York City,07/09,Number,45,3651000
New York City,07/20,Number,39,3651000
New York City,07/30,Number,38,3651000
New York City,08/05,Number,39,3651000
New York City,08/16,Number,21,3651000
New York City,08/23,Number,21,3651000
New York City,09/07,Number,18,3651000
New York City,09/14,Number,31,3651000
New York City,09/27,Number,34,3651000
New York City,10/07,Number,46,3651000
New York City,10/14,Number,58,3651000
New York City,10/21,Number,50,3651000
New York City,10/28,Number,45,3651000
New York City,11/04,Number,66,3651000
New York City,11/12,Number,79,3651000
New York City,11/19,Number,131,3651000
New York City,11/26,Number,153,3651000
New York City,12/03,Number,208,3651000
