"Name","COVID-19 Hospitalizations by Neighborhood Poverty"
"Description","Neighborhood poverty as the percentage of people earning incomes below the Federal Poverty Threshold within a ZCTA, such that:&nbsp;<br />
<em>Low</em>: &lt;10% of residents in ZCTA living below the Federal Poverty Threshold&nbsp;<br />
<em>Medium</em>: 10% to &lt;20%&nbsp;<br />
<em>High</em>: 20% to &lt;30%<br />
<em>Very high</em>: &ge;30% residents living below the FPT<br />
<br />
Rates refer to number of confirmed cases per 100,000 people in ZCTA of residence.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Neighborhood Poverty,TimeFrame,DataFormat,Data,Fips
New York City,Low,05/19,Rate,332.36,3651000
New York City,Medium,05/19,Rate,507.39,3651000
New York City,High,05/19,Rate,634.89,3651000
New York City,Very High,05/19,Rate,722.31,3651000
New York City,Low,05/19,Number,7124,3651000
New York City,Medium,05/19,Number,19603,3651000
New York City,High,05/19,Number,13866,3651000
New York City,Very High,05/19,Number,9493,3651000
New York City,Low,05/22,Rate,333.47,3651000
New York City,Medium,05/22,Rate,509.83,3651000
New York City,High,05/22,Rate,638.31,3651000
New York City,Very High,05/22,Rate,727.09,3651000
New York City,Low,05/22,Number,7146,3651000
New York City,Medium,05/22,Number,19692,3651000
New York City,High,05/22,Number,13940,3651000
New York City,Very High,05/22,Number,9558,3651000
New York City,Low,05/25,Rate,336.32,3651000
New York City,Medium,05/25,Rate,513.19,3651000
New York City,High,05/25,Rate,642.74,3651000
New York City,Very High,05/25,Rate,731.93,3651000
New York City,Low,05/25,Number,7204,3651000
New York City,Medium,05/25,Number,19818,3651000
New York City,High,05/25,Number,14038,3651000
New York City,Very High,05/25,Number,9622,3651000
New York City,Low,05/29,Number,7233,3651000
New York City,Medium,05/29,Number,19927,3651000
New York City,High,05/29,Number,14105,3651000
New York City,Very High,05/29,Number,9703,3651000
New York City,Low,05/29,Rate,337.8,3651000
New York City,Medium,05/29,Rate,516.14,3651000
New York City,High,05/29,Rate,645.97,3651000
New York City,Very High,05/29,Rate,737.95,3651000
New York City,Low,06/01,Number,7341,3651000
New York City,Medium,06/01,Number,20228,3651000
New York City,High,06/01,Number,14401,3651000
New York City,Very High,06/01,Number,9855,3651000
New York City,Low,06/01,Rate,342.79,3651000
New York City,Medium,06/01,Rate,524.34,3651000
New York City,High,06/01,Rate,659.73,3651000
New York City,Very High,06/01,Rate,749.23,3651000
New York City,Low,06/05,Number,7411,3651000
New York City,Medium,06/05,Number,20380,3651000
New York City,High,06/05,Number,14513,3651000
New York City,Very High,06/05,Number,9895,3651000
New York City,Low,06/05,Rate,346.05,3651000
New York City,Medium,06/05,Rate,528.24,3651000
New York City,High,06/05,Rate,664.85,3651000
New York City,Very High,06/05,Rate,752.24,3651000
New York City,Low,06/08,Number,7435,3651000
New York City,Medium,06/08,Number,20461,3651000
New York City,High,06/08,Number,14594,3651000
New York City,Very High,06/08,Number,9936,3651000
New York City,Low,06/08,Rate,347.25,3651000
New York City,Medium,06/08,Rate,530.42,3651000
New York City,High,06/08,Rate,668.59,3651000
New York City,Very High,06/08,Rate,755.26,3651000
New York City,Low,06/12,Number,7458,3651000
New York City,Medium,06/12,Number,20609,3651000
New York City,High,06/12,Number,14704,3651000
New York City,Very High,06/12,Number,10028,3651000
New York City,Low,06/12,Rate,348.51,3651000
New York City,Medium,06/12,Rate,534.34,3651000
New York City,High,06/12,Rate,673.71,3651000
New York City,Very High,06/12,Rate,762.45,3651000
New York City,Low,06/15,Number,7465,3651000
New York City,Medium,06/15,Number,20647,3651000
New York City,High,06/15,Number,14736,3651000
New York City,Very High,06/15,Number,10049,3651000
New York City,Low,06/15,Rate,348.8,3651000
New York City,Medium,06/15,Rate,535.38,3651000
New York City,High,06/15,Rate,675.22,3651000
New York City,Very High,06/15,Rate,763.97,3651000
New York City,Low,06/19,Number,7528,3651000
New York City,Medium,06/19,Number,20893,3651000
New York City,High,06/19,Number,14956,3651000
New York City,Very High,06/19,Number,10170,3651000
New York City,Low,06/19,Rate,351.79,3651000
New York City,Medium,06/19,Rate,541.89,3651000
New York City,High,06/19,Rate,685.39,3651000
New York City,Very High,06/19,Rate,772.88,3651000
New York City,Low,06/22,Number,7543,3651000
New York City,Medium,06/22,Number,20953,3651000
New York City,High,06/22,Number,15009,3651000
New York City,Very High,06/22,Number,10199,3651000
New York City,Low,06/22,Rate,352.5,3651000
New York City,Medium,06/22,Rate,543.52,3651000
New York City,High,06/22,Rate,687.87,3651000
New York City,Very High,06/22,Rate,775.12,3651000
New York City,Low,06/26,Number,7562,3651000
New York City,Medium,06/26,Number,21016,3651000
New York City,High,06/26,Number,15051,3651000
New York City,Very High,06/26,Number,10241,3651000
New York City,Low,06/26,Rate,353.45,3651000
New York City,Medium,06/26,Rate,545.17,3651000
New York City,High,06/26,Rate,689.84,3651000
New York City,Very High,06/26,Rate,778.3,3651000
