"Name","COVID-19 Hospitalizations by Sex"
"Description","Hospitalizations are estimations that reflect the&nbsp;<strong>total&nbsp;</strong>number of people ever admitted to a hospital for COVID-19,&nbsp;<strong>not</strong>&nbsp;currently admitted. For more information on how DOHMH estimates the number of hospitalizations to COVID-19, see&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#estimated-number-of-covid-19-patients-ever-hospitalized"">their technical notes</a>.&nbsp;Rates refer to the estimated number of hospitalizations per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new hospitalizations per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,04/02,Rate,97.71,3651000
New York City,Male,04/02,Rate,157.14,3651000
New York City,Female,04/06,Rate,140.37,3651000
New York City,Male,04/06,Rate,228.73,3651000
New York City,Female,04/10,Rate,239.28,3651000
New York City,Male,04/10,Rate,379.63,3651000
New York City,Female,04/13,Rate,272.42,3651000
New York City,Male,04/13,Rate,428.49,3651000
New York City,Female,04/17,Rate,307.16,3651000
New York City,Male,04/17,Rate,482.6,3651000
New York City,Female,04/20,Rate,325.44,3651000
New York City,Male,04/20,Rate,509.29,3651000
New York City,Female,04/24,Rate,358.34,3651000
New York City,Male,04/24,Rate,555.02,3651000
New York City,Female,04/27,Rate,378.58,3651000
New York City,Male,04/27,Rate,584,3651000
New York City,Female,05/01,Rate,403.96,3651000
New York City,Male,05/01,Rate,615.46,3651000
New York City,Female,05/04,Rate,408.56,3651000
New York City,Male,05/04,Rate,622.67,3651000
New York City,Female,05/08,Rate,418.1,3651000
New York City,Male,05/08,Rate,635.68,3651000
New York City,Female,05/11,Rate,473.62,3651000
New York City,Male,05/11,Rate,693.76,3651000
New York City,Female,05/15,Rate,484.8,3651000
New York City,Male,05/15,Rate,705.35,3651000
New York City,Female,05/19,Rate,495.9,3651000
New York City,Male,05/19,Rate,717.93,3651000
New York City,Female,05/19,Number,21784,3651000
New York City,Male,05/19,Number,28760,3651000
New York City,Female,05/22,Number,21927,3651000
New York City,Male,05/22,Number,28911,3651000
New York City,Female,05/22,Rate,499.16,3651000
New York City,Male,05/22,Rate,721.7,3651000
