"Name","Large Food Retail"
"Description","Rate of adults per large food retail represents the total population per one large food retail (10,000 square feet or larger) in a given geography.&nbsp;<br />
<br />
You can explore large food retail across New York City on the&nbsp;<a href=""https://data.cccnewyork.org/assetmapping#?domain=1245&amp;assets=Food%20Retail%2FTraditional%20Food%20Retail&amp;communities=8%7C17"" target=""_blank"">Map Community Resources</a>&nbsp;tool.&nbsp;"
"Source Notes","New York State Department of Agriculture and Markets. (September 2021). Retail Food Stores. Retrieved from: <a href=""https://data.ny.gov/Economic-Development/Retail-Food-Stores/9a8c-vfzj"" target=""_blank"">https://data.ny.gov/Economic-Development/Retail-Food-Stores/9a8c-vfzj</a>.<br />
U.S. Census Bureau. (2019). American Community Survey 1-Year Estimates. Retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2021,Number of Large Food Retail,11,101
Greenwich Village,2021,Number of Large Food Retail,19,102
Lower East Side,2021,Number of Large Food Retail,20,103
Chelsea/Clinton,2021,Number of Large Food Retail,22,104
Midtown Business District,2021,Number of Large Food Retail,21,105
Murray Hill/Stuyvesant,2021,Number of Large Food Retail,14,106
Upper West Side,2021,Number of Large Food Retail,25,107
Upper East Side,2021,Number of Large Food Retail,22,108
Manhattanville,2021,Number of Large Food Retail,7,109
Central Harlem,2021,Number of Large Food Retail,13,110
East Harlem,2021,Number of Large Food Retail,12,111
Washington Heights,2021,Number of Large Food Retail,14,112
Mott Haven,2021,Number of Large Food Retail,11,201
Hunts Point,2021,Number of Large Food Retail,8,202
Morrisania,2021,Number of Large Food Retail,7,203
Concourse/Highbridge,2021,Number of Large Food Retail,14,204
University Heights,2021,Number of Large Food Retail,8,205
East Tremont,2021,Number of Large Food Retail,4,206
Bedford Park,2021,Number of Large Food Retail,7,207
Riverdale,2021,Number of Large Food Retail,9,208
Unionport/Soundview,2021,Number of Large Food Retail,17,209
Throgs Neck,2021,Number of Large Food Retail,14,210
Pelham Parkway,2021,Number of Large Food Retail,8,211
Williamsbridge,2021,Number of Large Food Retail,13,212
Williamsburg/Greenpoint,2021,Number of Large Food Retail,26,301
Fort Greene/Brooklyn Hts,2021,Number of Large Food Retail,16,302
Bedford Stuyvesant,2021,Number of Large Food Retail,9,303
Bushwick,2021,Number of Large Food Retail,5,304
East New York,2021,Number of Large Food Retail,26,305
Park Slope,2021,Number of Large Food Retail,11,306
Sunset Park,2021,Number of Large Food Retail,14,307
Crown Heights North,2021,Number of Large Food Retail,4,308
Crown Heights South,2021,Number of Large Food Retail,5,309
Bay Ridge,2021,Number of Large Food Retail,13,310
Bensonhurst,2021,Number of Large Food Retail,17,311
Borough Park,2021,Number of Large Food Retail,17,312
Coney Island,2021,Number of Large Food Retail,8,313
Flatbush/Midwood,2021,Number of Large Food Retail,11,314
Sheepshead Bay,2021,Number of Large Food Retail,19,315
Brownsville,2021,Number of Large Food Retail,16,316
East Flatbush,2021,Number of Large Food Retail,7,317
Canarsie,2021,Number of Large Food Retail,22,318
